ID,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Status
1,2,24,3913,312,689,,,,,689,,,,,Default
2,12,26,2682,1725,2682,3272,3455,3261,,1,1,1,,2,Default
3,9,34,29239,1427,13559,14331,14948,15549,1518,15,1,1,1,5,Not Default
4,5,37,4699,48233,49291,28314,28959,29547,2,219,12,11,169,1,Not Default
5,5,57,8617,567,35835,294,19146,19131,2,36681,1,9,689,679,Not Default
6,5,37,644,5769,5768,19394,19619,224,25,1815,657,1,1,8,Not Default
7,5.00E+00,29,367965,41223,4457,542653,4833,473944,55,4,38,2239,1375,1377,Not Default
8,1.00E+00,23,11876,38,61,221,-159,567,38,61,,581,1687,1542,Not Default
9,14,28,11285,1496,1218,12211,11793,3719,3329,,432,1,1,1,Not Default
1,2,35,,,,,137,13912,,,,137,1122,,Not Default
11,2.00E+00,34,1173,9787,5535,2513,1828,3731,236,12,5,3,3738,66,Not Default
12,26,51,12261,2167,9966,8517,22287,13668,21818,9966,8583,2231,,364,Not Default
13,63,41,12137,65,65,65,65,287,1,65,65,65,287,,Not Default
14,7,3,6582,67369,6571,66782,36137,36894,32,,3,3,15,,Default
15,25,29,7887,676,63561,59696,56875,55512,3,3,3,3,3,3,Not Default
16,5,23,5614,29173,28116,28771,29531,3211,,15,11,12,13,11,Not Default
17,2,24,15376,181,17428,18338,1795,1914,32,,15,,165,,Default
18,32,49,253286,246536,194663,774,5856,195599,1358,1,7594,2,195599,5,Not Default
19,36,49,,,,,,,,,,,,,Not Default
2,18,29,,,,,,,,,,,,,Not Default
21,13,39,38358,27688,24489,2616,1182,93,3,1537,1,2,93,33764,Not Default
22,12,39,316,316,316,,632,316,316,316,,632,316,,Default
23,7,26,4187,42445,452,446,4695,4612,27,3582,,361,,182,Default
24,45,4,5512,1942,1473,56,,,19428,1473,56,,,1128,Default
25,9,23,4744,77,,5398,636,8292,5757,,5398,12,245,2,Not Default
26,5,23,4762,4181,3623,28967,29829,346,1973,1426,11,1432,162,997,Not Default
27,6,27,-19,-425,259,-57,127,-189,,1,,5,,1,Default
28,5,3,22541,16138,17163,17878,18931,19617,13,13,1,15,1,112,Not Default
29,5,47,65,3415,3416,24,343,257,3415,3421,244,343,257,,Not Default
3,5,26,15329,16575,17496,1797,18375,114,15,15,1,1,16,,Not Default
31,23,27,16646,17265,13266,15339,1437,36923,1727,13281,15339,1437,37292,,Not Default
32,5,33,3518,29618,2212,22734,23217,2368,1718,15,1,1,1,716,Default
33,1.00E+00,32,9336,8471,8288,8958,7873,75589,323,3511,332,324,32,254,Not Default
34,5.00E+00,54,1929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,Not Default
35,5.00E+00,58,1379,56,3113,318,,5293,56,31178,318,,5293,768,Not Default
36,16,3,3265,-131,-527,-923,-1488,-1884,131,396,396,565,792,,Not Default
37,28,4,18653,181328,18422,1741,17391,177413,826,86,63,64,64,6737,Not Default
38,6,22,1554,986,1168,626,-28335,1866,15,1518,243,,47671,617,Not Default
39,5,25,,78,,,,,78,,,,,,Default
4,28,31,498,975,4641,9976,17976,9477,975,,9976,8,9525,781,Not Default
41,36,33,218668,221296,26895,628699,195969,179224,1,7,6,18884,28,4,Not Default
42,7,25,67521,66999,63949,63699,64718,6597,3,45,442,25,28,25,Not Default
43,1,22,1877,3184,63,3576,367,4451,15,2927,1,3,1,5,Not Default
44,14,37,5954,61544,62925,6428,6779,6982,3,3,3,4,4,3,Not Default
45,4,3,18927,21295,25921,2529,26636,29197,3,5,,2,3,,Not Default
46,21,29,,,,,,,,,,,,,Default
47,2,22,1428,16484,158,16341,16675,,3,,16741,334,,,Default
48,15,46,4463,334,117,117,,,113,117,,,,,Default
49,38,32,2241,2154,15134,3218,11849,11873,2154,15138,24677,11851,11875,8251,Not Default
5,2,24,17447,18479,19476,19865,248,263,1318,1315,74,928,912,169,Not Default
51,7,42,3742,36171,38355,39423,38659,39362,,31,2,,15,15,Default
52,1.00E+00,43,61559,51163,43824,39619,35762,33258,2,166,15,2,15,1,Not Default
53,31,49,13465,7867,76,11185,3544,464,7875,76,11185,3544,464,,Not Default
54,18,25,4142,41742,42758,4351,4442,45319,13,21,1762,1762,179,1622,Not Default
55,15,29,46224,34993,31434,26518,2142,1654,16,1718,149,15,2,5,Not Default
56,5.00E+00,45,195,364,162,,151,253,364,162,,151,253,,Not Default
57,18,34,16386,15793,8441,7142,-679,8321,85,15,75,679,9,2,Not Default
58,18,34,175886,17344,17238,16868,13222,129918,883,7296,5253,4814,4816,38,Not Default
59,2.00E+00,34,1587,198,782,1166,7,1414,,,7,,12,,Not Default
6,4.00E+00,29,4134,398857,4425,36199,356656,36489,17,1529,3,12,12,23,Not Default
