Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,Life Sciences,Female,94,Sales Executive,Single,5993,8,Yes,11,80,8,0,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,Life Sciences,Male,61,Research Scientist,Married,5130,1,No,23,80,10,3,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,Other,Male,92,Laboratory Technician,Single,2090,6,Yes,15,80,7,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,Life Sciences,Female,56,Research Scientist,Married,2909,1,Yes,11,80,8,3,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,Medical,Male,40,Laboratory Technician,Married,3468,9,No,12,80,6,3,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,Life Sciences,Male,79,Laboratory Technician,Single,3068,0,No,13,80,8,2,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,Medical,Female,81,Laboratory Technician,Married,2670,4,Yes,20,80,12,3,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,Life Sciences,Male,67,Laboratory Technician,Divorced,2693,1,No,22,80,1,2,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,Life Sciences,Male,44,Manufacturing Director,Single,9526,0,No,21,80,10,2,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,Medical,Male,94,Healthcare Representative,Married,5237,6,No,13,80,17,3,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,Medical,Male,84,Laboratory Technician,Married,2426,0,No,13,80,6,5,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,Life Sciences,Female,49,Laboratory Technician,Single,4193,0,Yes,12,80,10,3,9,5,0,8
