Year,State,Number_of_Malaria_incidences,Rainfall_in_mm,Per_capita_income,Population,Category_deaths,Mortality_rate,rate
2011,Puducherry,196,958.5,119649,1244644,Medium,5.102,Extremely high
2011,Mizoram,8861,413.8,57654,1091014,High,3.386,Extremely high
2011,Goa,1187,3842.4,259444,1457723,Medium,2.527,Extremely high
2011,Meghalaya,25143,1758.3,60013,2964007,High,2.108,Extremely high
2011,Gujarat,89764,903.9,87481,60383628,High,1.415,Very High
2011,Manipur,714,413.8,39762,2721756,Medium,1.401,Very High
2011,Maharashtra,96577,842.9,99173,112372972,High,1.222,Very High
2011,Arunachal Pradesh,13950,1923.4,73068,1382611,High,1.219,Very High
2011,Nagaland,3363,413.8,53010,1980602,Medium,1.189,Very High
2011,Madhya Pradesh,91851,1283,38551,72597565,High,1.187,Very High
2011,Punjab,2693,533.6,85577,27704236,Medium,1.114,Very High
2011,Kerala,1993,3041.6,97912,33387687,Medium,1.004,Very High
2011,Assam,47397,1758.3,41142,31169272,High,0.949,High
2011,Tripura,14417,900.5,47079,3671032,High,0.832,High
2011,Rajasthan,54294,1275.8,57192,68621012,High,,High
2011,Uttarakhand,1277,1708.2,100305,10116752,Medium,0.783,High
2011,Orissa,308968,1300.2,48370,41947358,High,0.32,High
2011,Chhattisgarh,136899,1313,55177,25540196,High,0.307,High
2011,Andhra Pradesh,34949,835.5,69000,49386799,Medium,0.143,Very Low
2011,Jharkhand,160653,1274.8,41254,32966328,High,0.106,Very Low
2011,Haryana,33401,433,106085,25535081,Medium,0.03,Very Low
2011,Bihar,2643,1217.3,21750,103804647,Low,0,Zero
2011,Himachal Pradesh,247,1051.8,87721,6864602,Low,0,Zero
2011,Jammu & Kashmir,1091,1122.1,53173,12548926,Low,0,Zero
2011,Karnataka,24237,5807.1,90263,61130704,Low,0,Zero
2011,Sikkim,51,2360,158667,607688,Low,0,Zero
2011,Tamil Nadu,22171,1013.8,92984,72138958,Low,0,Zero
2011,Uttar Pradesh,56968,1650.9,32002,207281477,Low,0,Zero
2011,A.N.Islands,1918,3833.5,88183,379944,Low,0,Zero
2011,Chandigarh,582,433,159116,1055450,Low,0,Zero
2011,Delhi,413,433,185361,18980000,Low,0,Zero
2012,Mizoram,9883,417.3,65013,1091014,High,2.53,Extremely high
2012,Meghalaya,20834,2321.3,64036,2964007,High,2.496,Extremely high
2012,Arunachal Pradesh,8368,2761.1,81353,1382611,High,1.793,Very High
2012,Maharashtra,58517,664.2,111542,112372972,High,,Very High
2012,Kerala,2036,2187.6,110314,33387687,Medium,1.473,Very High
2012,Chhattisgarh,124006,1366.8,60849,25540196,High,0.726,High
