id,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2539,149,1,9,0.21,6,365
2595,225,1,45,0.38,2,355
3647,150,3,0,,1,365
3831,89,1,270,4.64,1,194
5022,80,10,9,0.1,1,0
5099,200,3,74,0.59,1,129
5121,60,45,49,0.4,1,0
5178,79,2,430,3.47,1,220
5203,79,2,118,0.99,1,0
5238,150,1,160,1.33,4,188
5295,135,5,53,0.43,1,6
5441,85,2,188,1.5,1,39
5803,89,4,167,1.34,3,314
6021,85,2,113,0.91,1,333
6090,120,90,27,0.22,1,0
6848,140,2,148,1.2,1,46
7097,215,2,198,1.72,1,321
7322,140,1,260,2.12,1,12
7726,99,3,53,4.44,1,21
7750,190,7,0,,2,249
7801,299,3,9,0.07,1,0
8024,130,2,130,1.09,6,347
8025,80,1,39,0.37,6,364
8110,110,2,71,0.61,6,304
8490,120,2,88,0.73,2,233
8505,60,1,19,1.37,2,85
8700,80,4,0,,1,0
9357,150,10,58,0.49,1,75
9518,44,3,108,1.11,3,311
9657,180,14,29,0.24,1,67
9668,50,3,242,2.04,3,355
9704,52,2,88,1.42,1,255
9782,55,4,197,1.65,3,284
9783,50,3,273,2.37,3,359
10452,70,1,74,0.66,2,269
10962,89,4,168,1.41,3,340
11452,35,60,0,,1,365
11708,85,2,231,1.96,2,22
11943,150,1,0,,1,365
12048,40,1,214,1.81,4,188
12192,68,2,245,2.08,2,96
12299,120,3,15,0.39,1,345
12303,120,7,25,0.23,1,311
12318,135,4,81,0.69,1,273
12343,150,7,97,0.84,1,309
12627,150,29,11,0.49,1,95
12937,130,3,248,2.25,1,215
12940,110,7,61,0.52,1,265
13050,115,3,11,0.1,1,0
13394,80,3,135,1.16,2,192
13808,80,1,112,1.01,3,251
14287,151,2,73,0.63,1,302
14290,228,3,82,0.7,1,140
14314,144,2,328,2.82,1,234
14322,200,7,19,0.22,1,257
14377,150,30,105,0.9,1,30
14991,110,5,19,0.17,1,301
15220,69,2,289,2.49,2,294
15338,49,4,138,1.19,3,320
15341,180,30,21,0.3,1,154
15385,80,2,42,0.38,1,263
15396,375,180,5,0.12,1,180
15711,250,2,66,0.57,2,231
16326,200,30,143,1.33,2,297
16338,55,7,27,0.23,2,292
16421,52,30,191,1.65,1,191
16458,225,3,4,0.16,1,0
16580,80,1,338,4.72,2,72
16595,275,1,148,1.4,1,362
16821,99,1,106,1.26,2,336
16974,225,4,190,1.64,1,215
17037,230,9,49,0.43,1,116
17092,51,7,23,0.43,1,88
17693,65,2,49,1.6,2,336
17747,105,2,105,0.92,1,304
18127,190,5,21,0.2,1,224
18152,200,1,142,1.5,1,322
18198,70,30,25,0.22,1,324
18590,95,3,143,1.28,1,132
18728,150,3,167,1.65,1,295
18764,145,3,61,0.54,4,238
19159,110,31,54,0.49,1,209
19169,285,5,70,0.62,1,328
19282,130,6,16,0.15,1,38
19319,94,30,94,0.84,1,188
19601,800,1,25,0.24,1,7
19812,105,3,61,0.53,1,272
20299,60,3,194,1.73,1,26
20300,50,1,2,0.05,1,0
20611,85,3,174,1.54,4,288
20724,65,4,24,0.28,1,317
20734,131,4,166,3.4,1,207
20755,98,7,16,0.2,6,185
20853,250,7,21,0.3,1,158
20913,100,5,168,1.57,1,0
21293,105,3,118,1.05,2,9
21456,140,3,81,0.71,1,198
21644,89,1,1,0.11,1,365
21794,98,30,30,0.27,2,364
22911,125,7,139,1.23,2,311
22918,60,3,11,0.87,3,219
23135,175,2,233,2.09,3,342
23501,65,2,68,0.6,1,312
23686,500,4,46,0.55,2,243
24143,101,3,335,3.02,1,152
24285,220,30,88,0.79,1,9
25235,125,90,162,1.46,2,137
25406,80,30,29,0.4,1,222
25696,100,2,170,1.61,1,346
26012,200,30,19,0.2,1,208
26362,59,2,334,3,2,279
26520,125,2,19,0.2,6,250
26559,140,7,12,0.13,1,164
26785,120,30,467,4.22,2,192
26933,350,2,7,0.06,4,298
26954,199,5,38,0.38,1,260
26969,325,3,324,3.01,1,107
27006,235,6,27,0.27,1,199
27385,225,1,115,1.05,4,299
27531,99,2,354,3.2,3,20
27644,170,2,195,2.03,1,318
27659,400,2,16,0.24,2,216
27759,170,7,13,0.12,1,224
27883,100,4,25,0.23,1,0
28321,75,2,9,0.08,1,324
28396,90,1,9,0.08,1,245
28907,150,5,21,0.19,1,189
29012,85,15,36,0.33,1,307
29013,70,3,63,0.58,2,310
29455,120,3,155,1.42,3,213
29628,89,3,260,2.35,1,278
29683,185,5,73,0.66,1,209
30031,50,3,193,1.86,1,0
30927,105,3,32,0.29,1,16
31130,130,2,50,0.45,3,234
31555,115,29,26,0.25,1,12
31902,77,2,2,0.02,1,178
31994,76,2,426,3.89,3,275
32023,125,3,227,2.09,2,163
32037,135,4,84,0.77,3,365
32100,250,29,3,0.03,1,34
32289,199,3,10,0.1,1,280
32331,140,2,4,0.04,1,0
32363,140,2,1,0.01,1,1
32965,115,3,124,1.72,2,170
32969,160,3,11,0.11,1,188
33009,195,4,240,2.19,1,214
33014,195,3,30,0.28,1,248
33223,80,3,200,1.86,4,262
34760,44,8,27,1.05,5,280
35526,156,4,79,0.74,1,307
36121,85,15,9,0.09,1,339
36133,125,3,155,1.61,1,1
36442,115,15,4,0.05,1,269
36647,69,2,34,0.32,1,10
36703,225,45,134,1.24,1,312
36934,125,6,27,0.25,1,189
38638,219,4,126,1.16,2,290
38663,475,3,23,0.27,1,230
39267,99,1,234,2.6,2,164
39282,69,4,202,1.86,2,53
39593,79,30,28,0.26,1,126
39704,135,2,309,2.86,2,3
40039,250,3,14,0.13,1,189
40453,250,3,4,0.08,1,365
41348,250,2,80,2.17,1,0
41513,80,3,2,0.04,1,0
42580,70,2,294,3.47,3,336
42729,165,2,150,1.4,3,342
42882,70,2,166,1.66,1,312
43957,50,2,47,0.94,1,37
44096,40,1,219,2.04,3,353
44161,150,2,193,1.78,1,177
44212,125,1,84,0.78,4,310
44221,196,3,114,1.06,1,0
44229,110,2,213,2,2,321
44288,170,3,86,0.8,1,246
44506,165,3,80,0.75,3,231
45393,150,26,38,0.36,1,225
45542,100,2,18,1.79,1,0
45556,65,2,206,1.92,2,0
45910,350,8,10,0.11,5,365
45936,99,4,122,1.18,2,233
45940,200,4,33,0.58,1,1
46544,150,5,52,0.5,1,18
46723,90,3,126,1.17,4,343
46911,120,3,51,0.48,3,250
47199,75,3,199,1.85,1,326
47362,175,26,30,0.29,1,364
47370,125,3,3,0.03,1,0
47926,275,1,41,0.38,1,299
48719,299,2,109,1.04,1,207
50447,135,5,151,1.43,3,162
51438,130,14,0,,2,0
51485,83,1,285,2.69,1,7
51572,123,1,375,3.52,1,328
51850,55,2,52,0.49,2,365
53137,195,5,10,1.01,1,0
53196,80,2,11,0.48,1,0
53469,98,30,33,0.31,5,240
53470,140,7,6,0.06,5,365
53477,265,7,38,0.38,5,365
54158,249,2,358,3.44,2,164
54453,105,6,10,0.09,1,363
54466,200,30,0,,1,365
54508,100,2,226,2.12,3,250
54544,121,1,104,1,5,247
54626,45,1,138,1.45,3,323
54860,100,5,204,1.92,1,192
55467,140,2,253,3.04,1,125
